name,variety,season,spacing,notes,days_to_maturity,sow_depth,when_to_sow,days_to_emerge,seed_spacing,row_spacing,thinning
Tomato,Pineapple Pole,Warm,24,Indeterminate; large bicolor yellow-red; sweet fruity,85,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Squash (Winter),Pink Banana,Warm,48,Long banana-shaped; pink skin; sweet,105,1,After last frost,7,48,72,No
Bean (Bush),Pinkeye Purple Hull Cowpea,Warm,4,Southern cowpea; heat and drought tolerant,65,1.5,After last frost,7,4,24,No
Cucumber,Poinsett 76,Warm,18,Dark green slicing; disease resistant,65,0.5,After last frost,7,18,48,No
Tomato,Pork Chop Pole,Warm,24,Indeterminate; yellow beefsteak; meaty and sweet,85,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Kale,Premier Blend,Cool,18,Mix of kale varieties; colorful and nutritious,55,0.5,Early spring or fall,7,18,24,No
Pea (Shelling),Progress #9,Cool,3,Compact vines; plump sweet peas; reliable,60,1,Early spring as soon as soil can be worked,10,3,24,No
Bean (Bush),Provider,Warm,4,Very early; reliable in cool conditions,50,1.5,After last frost,7,4,24,No
Eggplant,Pumpkin on a Stick,Warm,24,Ornamental; small orange fruit on thorny stems,75,0.25,Start indoors 8-10 weeks before last frost,10,24,30,No
Pepper (Sweet),Purple Beauty,Warm,18,Deep purple bell; sweet; matures early,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Sprouts,Purple Kohlrabi,Cool,0,Purple kohlrabi sprouts; mild brassica flavor,5,0,Indoor sprouting year-round,3,0,0,No
Tomatillo,Purple,Warm,24,Small purple fruit; sweeter than green,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Turnip,Purple Top White Globe,Cool,4,Classic heirloom; mild white flesh,55,0.5,Early spring or late summer,5,1,12,4 inches
Kohlrabi,Purple Vienna,Cool,6,Purple skin; crisp white interior; mild sweet,55,0.5,Early spring or fall,7,2,18,6 inches
Cucumber,Quick Snack,Warm,12,Snack-sized; thin-skinned; sweet; container friendly,45,0.5,After last frost,7,12,48,No
Tomato (Cherry),Rainbow Blend Pole,Warm,24,Indeterminate; mix of colorful cherry tomatoes,70,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Broccoli,Rapini Broccoli Raab,Cool,6,Italian broccoli rabe; slightly bitter; quick,40,0.5,Early spring or fall,5,6,18,No
Radish,Rat's Tail,Warm,6,Grown for edible seed pods; not roots,50,0.5,After last frost,5,6,12,No
Tomato (Cherry),Red & Yellow Pear Blend Pole,Warm,24,Indeterminate; pear-shaped cherry blend,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Cabbage,Red Acre,Cool,18,Compact red-purple heads; heirloom,75,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Onion (Bulb),Red Amposta,Warm,4,Large red bulb; mild sweet; good storage,110,0.25,Start indoors 8-10 weeks before last frost,10,4,12,No
Pepper (Chile),Red and Yellow Biquinho Blend,Warm,18,Tiny teardrop-shaped; mild sweet heat,80,0.25,Start indoors 8-10 weeks before last frost,14,18,24,No
Strawberry,Red and Yellow Wonder Blend,Cool,12,Alpine strawberry; everbearing; small sweet fruit,90,0.125,Start indoors 10-12 weeks before last frost,21,12,18,No
Okra,Red Burgundy,Warm,12,Stunning red pods; productive; ornamental,55,1,After last frost,10,12,36,No
Sprouts,Red Clover,Cool,0,Mild sweet sprouts; nutritious,5,0,Indoor sprouting year-round,2,0,0,No
Carrot,Red Cored Chantenay,Cool,2,Short stout; deep orange core; good in heavy soil,70,0.25,Early spring or fall,14,1,12,2 inches
Mustard,Red Giant,Cool,8,Large burgundy-red leaves; spicy flavor,45,0.5,Early spring or fall,5,8,18,No
Squash (Winter),Red Kuri,Warm,48,Teardrop shape; bright red-orange; chestnut flavor,95,1,After last frost,7,48,72,No
Tomato,Red Pride Bush,Warm,24,Determinate; medium red slicer; disease resistant,72,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Baby Greens,Red Russian Kale,Cool,2,Tender baby kale leaves; mild and sweet,25,0.25,Early spring or fall,5,2,12,No
Kale,Red Russian,Cool,18,Flat grey-green leaves with purple veins; tender,50,0.5,Early spring or fall,7,18,24,No
Lettuce,Red Sails Leaf,Cool,8,Bronze-red leaf; slow to bolt; tender,45,0.125,Early spring or fall,7,1,12,8 inches
Pumpkin,Red Warty Thing,Warm,72,Bright red warty skin; unique decoration,110,1,After last frost,7,72,96,No
Kale,Redbor,Cool,18,Deep purple-red curly kale; ornamental and edible,55,0.5,Early spring or fall,7,18,24,No
Beet,Robin,Cool,4,Baby beet; sweet tender; uniform,50,0.5,Early spring or fall,7,1,12,4 inches
Corn (Popcorn),Robust Pop R400MR,Warm,10,High-popping yellow popcorn; disease resistant,100,1.5,After last frost,7,10,30,No
Arugula,Rocky Wild Rocket,Cool,6,Perennial wild type; deeply lobed; intense flavor,50,0.25,Early spring or fall,7,1,12,6 inches
Cauliflower,Romanesco,Cool,24,Fractal lime green heads; nutty flavor,80,0.5,Start indoors or direct sow spring/fall,7,24,24,No
Fennel,Romanesco,Cool,8,Bulb fennel; anise flavor; Italian heirloom,80,0.25,Direct sow late summer,10,8,18,No
Bok Choy,Rosette Tatsoi,Cool,6,Rosette forming; dark spoon-shaped leaves; mild,45,0.25,Early spring or fall,5,6,12,No
Lettuce,Rouge d'Hiver Romaine,Cool,10,French heirloom; red-bronze romaine; cold hardy,60,0.125,Early spring or fall,7,1,12,10 inches
Radish,Round Black Spanish,Cool,4,Large black-skinned storage radish; pungent,55,0.5,Late summer,5,1,12,4 inches
Squash (Summer),Round Zucchini,Warm,36,Globe-shaped zucchini; great for stuffing,45,1,After last frost,7,36,48,No
Bean (Bush),Royal Burgundy,Warm,4,Purple pods turn green when cooked; cold tolerant,55,1.5,After last frost,7,4,24,No
Swiss Chard,Ruby Red/Rhubarb,Cool,8,Deep red stems and veins; classic variety,55,0.5,Early spring or fall,7,2,18,8 inches
Lettuce,Salad Bowl Blend Leaf,Cool,6,Mix of green and red oak leaf types,45,0.125,Early spring or fall,7,1,12,6 inches
Sprouts,Salad Mix,Cool,0,Blend of salad sprout varieties,5,0,Indoor sprouting year-round,2,0,0,No
Tomato,San Marzano Roma Pole,Warm,24,Indeterminate; classic Italian paste; meaty,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Sprouts,Sandwich Mix,Cool,0,Sprout blend for sandwiches; crunchy,5,0,Indoor sprouting year-round,2,0,0,No
Pepper (Chile),Santaka,Warm,18,Japanese hot chile; upright clusters; very hot,90,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Squash (Summer),Scallop Blend Patty Pan,Warm,36,Mix of scallop squash colors,55,1,After last frost,7,36,48,No
Carrot,Scarlet Nantes,Cool,2,Classic Nantes type; sweet; nearly coreless,70,0.25,Early spring or fall,14,1,12,2 inches
Pepper (Chile),Scotch Bonnet,Warm,24,Very hot Caribbean pepper; fruity flavor,95,0.25,Start indoors 8-10 weeks before last frost,14,24,36,No
Pepper (Chile),Serrano,Warm,18,Hot; commonly used in fresh salsas,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Bean (Pole),Seychelles,Warm,6,Flat Romano type; excellent flavor; productive,60,1.5,After last frost,7,6,36,No
Garlic,Shandong Hardneck,Cool,6,USDA Organic; Asiatic type; early harvest,240,2,Fall planting,14,6,12,No
Carrot,Shin Kuroda,Cool,2,Japanese stump-rooted; sweet; adaptable,70,0.25,Early spring or fall,14,1,12,2 inches
Pepper (Chile),Shishito,Warm,18,Mild Japanese; great for blistering in a pan,60,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Garlic,Sicilian Artichoke Softneck,Cool,6,USDA Organic; artichoke type; many cloves,240,2,Fall planting,14,6,12,No
Garlic,Silver White Softneck,Cool,6,USDA Organic; braiding type; mild flavor,240,2,Fall planting,14,6,12,No
Brussels Sprouts,Silvia,Cool,24,Uniform round sprouts; mild flavor; hybrid,110,0.5,Start indoors or direct sow late spring,7,24,30,No
Baby Greens,Smoothie Mix,Cool,2,Mild greens blend; perfect for smoothies,25,0.125,Early spring or fall,7,2,12,No
Baby Greens,Snappy Fresh Mesclun,Cool,2,Crisp fresh mesclun blend,25,0.125,Early spring or fall,7,2,12,No
Cauliflower,Snowball Y,Cool,24,Classic white cauliflower; self-blanching,68,0.5,Start indoors or direct sow spring/fall,7,24,24,No
Cover Crop,Soil Builder Peas and Oats,Cool,2,Mix of peas and oats; builds soil structure,0,1,Fall or early spring,7,2,6,No
Spinach,Space,Cool,4,Smooth leaf; upright habit; slow to bolt,40,0.5,Early spring or fall,7,1,12,4 inches
Cucumber,Spacemaster 80,Warm,18,Compact bush type; ideal for containers,60,0.5,After last frost,7,18,36,No
Gourd,Speckled Swan Hard-shelled,Warm,48,Long curved neck; speckled; ornamental,120,1,Start indoors or after last frost,10,48,72,No
Baby Greens,Spinach,Cool,2,Baby spinach; tender and mild,25,0.5,Early spring or fall,7,2,12,No
Corn (Popcorn),Strawberry,Warm,10,Small ruby-red ears; ornamental and edible,100,1.5,After last frost,7,10,30,No
Watermelon,Sugar Baby,Warm,48,Icebox type; small round; sweet dark red flesh,80,1,After last frost,7,48,72,No
Pea (Snap),Sugar Daddy,Cool,3,Stringless snap pea; compact vines,68,1,Early spring as soon as soil can be worked,10,3,24,No
Pea (Snap),Sugar Magnolia,Cool,3,Purple-podded snap pea; stunning color; sweet,70,1,Early spring as soon as soil can be worked,10,3,24,No
Pumpkin,Sugar Pie,Warm,48,Classic pie pumpkin; sweet smooth flesh,100,1,After last frost,7,48,72,No
Pea (Snap),Sugar Snap,Cool,3,Original snap pea; tall vines; sweet crisp,65,1,Early spring as soon as soil can be worked,10,3,24,No
Tomato (Cherry),Sun Gold Pole,Warm,24,Indeterminate; golden-orange; exceptionally sweet,57,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Microgreens,Sunflower,Warm,1,Crunchy nutty sunflower microgreens,10,0.5,Indoor sowing year-round,3,1,4,No
Baby Greens,Superfoods,Cool,2,Nutrient-dense greens blend,25,0.125,Early spring or fall,7,2,12,No
Tomato,Supremo Bush Roma,Warm,24,Determinate; compact Roma; great paste tomato,70,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Pepper (Sweet),Sweet Banana,Warm,18,Long tapered; sweet; matures yellow to red,72,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Pepper (Sweet),Sweet Bell Blend,Warm,18,Mix of colored bell peppers,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Melon,Sweet Delight Honeydew,Warm,36,Green-fleshed honeydew; sweet and smooth,80,0.5,After last frost,7,36,72,No
Tomato (Cherry),Sweetie Pole,Warm,24,Indeterminate; sweet red cherry; vigorous,65,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Squash (Winter),Table King Acorn,Warm,36,Dark green acorn; compact bush; sweet,80,1,After last frost,7,36,72,No
Cucumber,Tasty Green,Warm,18,Japanese burpless; long smooth; mild flavor,62,0.5,After last frost,7,18,48,No
Bean (Bush),Tavera Filet,Warm,4,Very slim haricots verts; pick young,50,1.5,After last frost,7,4,24,No
Cucumber,Telegraph Improved,Warm,18,Long English greenhouse type; seedless,65,0.5,After last frost or greenhouse,7,18,48,No
Mustard,Tendergreen Spinach,Cool,6,Mild spinach-mustard; smooth leaves,40,0.5,Early spring or fall,5,6,18,No
Carrot,Tendersweet,Cool,3,Long sweet orange; deep taproot,75,0.25,Early spring or fall,14,1,12,3 inches
Onion (Bulb),Texas Early Grano,Warm,4,Short-day; large sweet mild bulbs,120,0.25,Fall sowing in mild climates,10,4,12,No
Pepper (Chile),Thai Hot,Warm,12,Very hot small upright peppers; prolific,80,0.25,Start indoors 8-10 weeks before last frost,14,12,18,No
Onion (Bunching/Scallion),Tokyo Long White,Cool,2,Classic white bunching onion; mild,65,0.25,Early spring through fall,10,2,12,No
Carrot,Tonda di Parigi,Cool,2,Round Parisian market carrot; great for containers,55,0.25,Early spring or fall,14,1,12,2 inches
Collards,Top Bunch 2.0,Cool,18,Compact plant; large dark green leaves,55,0.5,Early spring or late summer,7,18,36,No
Beet,Touchstone Gold,Cool,4,Golden beet; sweet; doesn't bleed; retains color,55,0.5,Early spring or fall,7,1,12,4 inches
Bok Choy,Toy Choy,Cool,4,Miniature baby bok choy; fast growing,30,0.25,Early spring or fall,5,4,12,No
Bean (Bush),Trio,Warm,4,Three-color bean blend; green yellow and purple,55,1.5,After last frost,7,4,24,No
Bean (Pole),Trionfo Violetto,Warm,6,Italian purple pole bean; beautiful and productive,65,1.5,After last frost,7,6,36,No
Squash (Summer),Triumph,Warm,36,Yellow crookneck; classic summer squash,55,1,After last frost,7,36,48,No
Lettuce,Truchas Mini-Romaine,Cool,6,Compact red-tipped romaine; heat tolerant,55,0.125,Early spring or fall,7,6,12,No
Corn (Sweet),True Gold,Warm,10,Open-pollinated golden sweet corn; heirloom,75,1.5,After last frost,7,10,30,No
Turnip,White Lady,Cool,4,Smooth white; sweet and mild; fast maturing,35,0.5,Early spring or fall,5,1,12,4 inches
Cauliflower,Twister,Cool,24,Self-wrapping white heads; easy to grow,65,0.5,Start indoors or direct sow spring/fall,7,24,24,No
Microgreens,Umami Asian Blend,Cool,1,Asian-flavored microgreens blend,10,0.125,Indoor sowing year-round,5,1,4,No
Microgreens,Upland Cress,Cool,1,Peppery cress microgreens; quick growing,10,0.125,Indoor sowing year-round,5,1,4,No
Celery,Utah,Cool,8,Classic tall green celery; crisp; stringless,100,0.125,Start indoors 10-12 weeks before last frost,14,8,24,No
Squash (Winter),Vegetable Spaghetti,Warm,36,Classic spaghetti squash; stringy flesh; mild,90,1,After last frost,7,36,72,No
Lettuce,Vivian Romaine,Cool,10,Dark green romaine; uniform upright heads,60,0.125,Early spring or fall,7,1,12,10 inches
Onion (Bulb),Walla Walla,Warm,4,Famous sweet onion; large mild bulbs,115,0.25,Start indoors 8-10 weeks before last frost,10,4,12,No
Broccoli,Waltham 29,Cool,18,Cold tolerant; good side shoot production,74,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Squash (Winter),Waltham Butternut,Warm,36,Classic butternut; tan skin; sweet orange flesh,100,1,After last frost,7,36,72,No
Pea (Shelling),Wando,Cool,3,Heat tolerant shelling pea; reliable,68,1,Early spring as soon as soil can be worked,10,3,24,No
Wheatgrass,Wheatgrass Juice,Cool,0,Grow indoors for juicing; nutrient dense,10,0.25,Indoor sowing year-round,3,0,0,No
Onion (Bunching/Scallion),White Lisbon,Cool,2,Classic white scallion; mild,60,0.25,Early spring through fall,10,2,12,No
Bean (Fava),Windsor,Cool,6,Large broad bean; cold hardy; nutty flavor,75,2,Early spring or fall in mild climates,10,6,24,No
Onion (Bulb),Yellow Granex PRR,Warm,4,Vidalia type; flat sweet; short day,105,0.25,Fall sowing in mild climates,10,4,12,No
Onion (Bulb),Yellow Sweet Spanish Utah,Warm,4,Large globe; mild and sweet; long day,110,0.25,Start indoors 8-10 weeks before last frost,10,4,12,No
Onion (Shallot),Zebrune,Cool,6,French heirloom banana shallot; elongated; rich flavor,100,0.25,Early spring,10,6,12,No
